clean_city_data,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,291.44,63,40,8.23,CA,1654968745
1,Barrow,71.2906,-156.7887,274.16,80,100,7.2,US,1654968749
2,Ushuaia,-54.8,-68.3,277.96,87,75,2.57,AR,1654968697
3,Melilla,35.2937,-2.9383,300.26,69,0,3.09,ES,1654968750
4,Mataura,-46.1927,168.8643,276.19,88,77,3.05,NZ,1654968752
5,Albany,42.6001,-73.9662,297.55,52,100,2.06,US,1654968753
6,Port Alfred,-33.5906,26.891,293.62,39,55,4.3,ZA,1654968753
7,Bluff,-46.6,168.3333,276.37,72,94,7.63,NZ,1654968754
8,Sarkand,45.41,79.9186,292.65,58,100,2.73,KZ,1654968755
9,Tuktoyaktuk,69.4541,-133.0374,276.15,93,100,5.14,CA,1654968755
10,Chokurdakh,70.6333,147.9167,282.92,51,38,4.8,RU,1654968756
11,Punta Arenas,-53.15,-70.9167,281.16,76,75,4.63,CL,1654968757
12,Rikitea,-23.1203,-134.9692,296.87,78,23,5.98,PF,1654968757
13,Carnarvon,-24.8667,113.6333,294.51,69,1,5.63,AU,1654968758
14,Novikovo,51.1537,37.8879,293.71,81,97,1.75,RU,1654968758
15,Tarakan,3.3,117.6333,300.71,73,56,0.62,ID,1654968759
16,Longyearbyen,78.2186,15.6401,277.06,75,75,5.14,SJ,1654968760
17,La Paz,-16.5,-68.15,286.14,10,20,3.6,BO,1654968735
18,Qaanaaq,77.484,-69.3632,272.04,73,100,1.96,GL,1654968764
19,Khatanga,71.9667,102.5,281.68,62,28,4.5,RU,1654968766
20,Ures,29.4333,-110.4,308.78,32,15,3.26,MX,1654968767
21,New Norfolk,-42.7826,147.0587,276.99,81,93,1.34,AU,1654968767
22,Bandar-e Lengeh,26.5579,54.8807,305.21,66,0,2.06,IR,1654968768
23,Provideniya,64.3833,-173.3,275.83,70,59,1.29,RU,1654968769
24,Mehamn,71.0357,27.8492,281.1,70,100,2.97,NO,1654968770
25,La Providencia,28.7167,-111.5833,307.71,49,4,4.26,MX,1654968771
26,Mar del Plata,-38.0023,-57.5575,285.9,66,0,5.14,AR,1654968772
27,Quelimane,-17.8786,36.8883,294.12,64,20,2.06,MZ,1654968772
28,Bariloche,-41.1456,-71.3082,279.51,51,40,0.0,AR,1654968677
29,Vaini,-21.2,-175.2,296.24,100,40,2.06,TO,1654968778
30,Plettenberg Bay,-34.0527,23.3716,297.72,24,59,6.42,ZA,1654968779
31,Hong Kong,22.2855,114.1577,300.35,88,100,3.58,HK,1654968526
